Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Western', 'Action & Adventure']",74,Fred Schepisi,100,"[' Willie Nelson', ' Gary Busey', ' Gilbert Roland', ' Isela Vega', ' Danny De La Paz', ' Alma Martinez']",Barbarosa (1982)
"['Drama', 'Comedy']",56,George Gallo,40,"[' Luke Wilson', ' Giovanni Ribisi', ' Gabriel Macht', ' James Caan', ' Jacinda Barrett', ' Kevin Pollak']",Middle Men (2010)
"['Drama', 'Romance', 'Art House & International', 'Mystery & Suspense']",39,Kaige Chen,0,"[' Heather Graham', ' Joseph Fiennes', ' Natascha McElhone', ' Ulrich Thomsen', ' Ronan Vibert', ' Kika Markham']",Killing Me Softly (2003)
"['Drama', 'Action & Adventure', 'Mystery & Suspense', 'Classics', 'Special Interest']",73,Michael Powell,100,"[' Conrad Veidt', ' Sebastian Shaw', ' Valerie Hobson', ' Marius Goring', ' June Duprez', ' Athole Stewart']",The Spy in Black (U-Boat 29) (1939)
"['Drama', 'Romance', 'Mystery & Suspense']",70,Rebecca Johnson,86,"[' Jessica Sula', ' Lucien Laviscount', ' Ntonga Mwanza']",Honeytrap (2015)
"['Drama', 'Romance', 'Mystery & Suspense']",29,Phillip Noyce,12,"[' Sharon Stone', ' William Baldwin', ' Tom Berenger', ' Martin Landau', ' Polly Walker', ' Colleen Camp']",Sliver (1993)
['Drama'],77,Hal Ashby,82,"[' David Carradine', ' Melinda Dillon', ' Ronny Cox', ' Randy Quaid', ' Gail Strickland', ' John Lehne']",Bound for Glory (1976)
"['Drama', 'Horror']",58,Tony Piccirillo,21,"[' James Marsden', ' Scott Speedman', ' Sof\xc3\xada Vergara', ' Jeremy Davies', ' Barry Papick', ' Charlie Corrado']",The 24th Day (2004)
"['Television', 'Horror', 'Mystery & Suspense', 'Comedy']",30,Wes Craven,8,"[' Mitch Pileggi', ' Michael Murphy', ' Peter Berg', ' Cami Cooper', ' Richard Brooks', ' Theodore Raimi']",Shocker (1989)
['Drama'],74,D.W. Griffith,91,"[' Lillian Gish', ' Dorothy Gish', ' Joseph Schildkraut', ' Monte Blue', ' Frank Losee', ' Katherine Emmett']",Orphans of the Storm (1921)
"['Drama', 'Mystery & Suspense', 'Classics', 'Comedy']",93,Stanley Donen,92,"[' Cary Grant', ' Audrey Hepburn', ' Walter Matthau', ' James Coburn', ' George Kennedy', ' Ned Glass']",Charade (1963)
